Sample,Record ID,Max Distance,Strain,Number of Contigs
GCF_003994075_1_ASM399407v1_genomic,003994075,7.82718e-05,Brucella abortus,19
GCF_000365625_1_Bruc_abor_LEVI237_V1_genomic,000365625,0.000156838,Brucella abortus,4
GCF_006517315_1_ASM651731v1_genomic,006517315,0.000156838,Brucella melitensis,28
GCF_000370445_1_Bruc_abor_F6_05-3_V1_genomic,000370445,0.000235701,Brucella abortus,13
GCF_006517335_1_ASM651733v1_genomic,006517335,0.000156838,Brucella melitensis,36
GCF_000370065_1_Bruc_abor_63_294_V1_genomic,000370065,0.00128871,Brucella abortus,32
GCF_006507665_1_ASM650766v1_genomic,006507665,0.000156838,Brucella melitensis,29
GCF_001715365_1_ASM171536v1_genomic,001715365,0.0,Brucella canis,2
GCF_000348645_1_MD5v1_genomic,000348645,7.82718e-05,Brucella melitensis,91
GCF_000369905_1_Bruc_abor_225_65_V1_genomic,000369905,0.0,Brucella abortus,3
GCF_000480295_1_Bruc_cani_04-2330-1_V1_genomic,000480295,0.0,Brucella canis,4
GCF_003989975_1_ASM398997v1_genomic,003989975,0.00145543,Brucella abortus,131
GCF_006506485_1_ASM650648v1_genomic,006506485,0.000235701,Brucella melitensis,63
GCF_000365645_1_Bruc_abor_levi_gila_V1_genomic,000365645,0.0,Brucella abortus,6
GCF_004168645_1_ASM416864v1_genomic,004168645,7.82718e-05,Brucella abortus,115
GCF_900236555_1_Bru_genome5_genomic,900236555,0.000394323,Brucella melitensis,2
GCF_900446005_1_58116_B01_genomic,900446005,0.000156838,Brucella abortus,2
GCF_000157735_1_ASM15773v1_genomic,000157735,0.000156838,Brucella abortus,21
GCF_002150445_1_ASM215044v1_genomic,002150445,0.000156838,Brucella melitensis,41
GCF_002895145_1_ASM289514v1_genomic,002895145,0.0,Brucella abortus,2
GCF_001402095_1_ASM140209v1_genomic,001402095,7.82718e-05,Brucella abortus,9
GCF_000245895_1_Bruc_abor_bv1_NI488_V1_genomic,000245895,0.0,Brucella abortus,5
GCF_006506215_1_ASM650621v1_genomic,006506215,0.000314862,Brucella melitensis,30
GCF_000740315_1_ASM74031v1_genomic,000740315,0.000314862,Brucella abortus,2
GCF_000698345_1_ASM69834v1_genomic,000698345,7.82718e-05,Brucella suis,2
GCF_000298575_1_V1_0_for_Brucella_canis_str_118_genomic,000298575,0.0005541519999999999,Brucella canis,154
GCF_002150355_1_ASM215035v1_genomic,002150355,7.82718e-05,Brucella melitensis,33
GCF_003253375_1_ASM325337v1_genomic,003253375,0.000156838,Brucella abortus,2
GCF_000480135_1_Bruc_suis_06-997-1672_V1_genomic,000480135,0.000156838,Brucella suis,20
GCF_000292065_1_ASM29206v1_genomic,000292065,7.82718e-05,Brucella melitensis,77
GCF_002191935_1_ASM219193v1_genomic,002191935,0.000314862,Brucella melitensis,2
GCF_000370405_1_Bruc_abor_F10_06-3_V1_genomic,000370405,0.000235701,Brucella abortus,5
GCF_003989635_1_ASM398963v1_genomic,003989635,0.000156838,Brucella melitensis,31
GCF_006507585_1_ASM650758v1_genomic,006507585,0.000156838,Brucella melitensis,24
GCF_000366865_1_Bruc_meli_66_59_V1_genomic,000366865,0.0,Brucella melitensis,12
GCF_006506785_1_ASM650678v1_genomic,006506785,0.000156838,Brucella melitensis,29
GCF_003675365_1_ASM367536v1_genomic,003675365,7.82718e-05,Brucella abortus,2
GCF_006507285_1_ASM650728v1_genomic,006507285,0.000156838,Brucella melitensis,35
GCF_000370705_1_Bruc_meli_F9_05_V1_genomic,000370705,7.82718e-05,Brucella melitensis,12
GCF_001938045_1_ASM193804v1_genomic,001938045,0.000235701,Brucella melitensis,42
GCF_000366725_1_Bruc_abor_NI622_V1_genomic,000366725,0.0,Brucella abortus,2
GCF_000370005_1_Bruc_abor_63_138_V1_genomic,000370005,7.82718e-05,Brucella abortus,5
GCF_006507235_1_ASM650723v1_genomic,006507235,0.000156838,Brucella melitensis,30
GCF_000705115_1_Brucella_melitensis_C-555_genomic,000705115,0.000156838,Brucella melitensis,56
GCF_003994105_1_ASM399410v1_genomic,003994105,0.000156838,Brucella melitensis,24
GCF_002191335_1_ASM219133v1_genomic,002191335,0.000235701,Brucella melitensis,2
GCF_900446145_1_59071_D01_genomic,900446145,0.000715202,Brucella suis,18
GCF_001594165_1_ASM159416v1_genomic,001594165,0.0,Brucella suis,2
GCF_001938165_1_ASM193816v1_genomic,001938165,0.000235701,Brucella melitensis,42
GCF_000209635_2_ASM20963v2_genomic,000209635,0.0,Brucella suis,28
GCF_006506635_1_ASM650663v1_genomic,006506635,0.000235701,Brucella melitensis,39
GCF_006506105_1_ASM650610v1_genomic,006506105,0.000156838,Brucella melitensis,29
GCF_006506565_1_ASM650656v1_genomic,006506565,0.0005541519999999999,Brucella melitensis,47
GCF_000163135_1_ASM16313v1_genomic,000163135,0.0,Brucella sp,17
GCF_000370605_1_Bruc_cani_CNGB_513_V1_genomic,000370605,0.000235701,Brucella canis,6
GCF_900417215_1_00-4216_genomic,900417215,0.000156838,Brucella melitensis,29
GCF_000245835_1_Bruc_abor_bv1_NI435a_V1_genomic,000245835,0.0,Brucella abortus,3
GCF_001702315_1_ASM170231v1_genomic,001702315,7.82718e-05,Brucella melitensis,37
GCF_002310355_1_ASM231035v1_genomic,002310355,0.000959098,Brucella abortus,2
GCF_003194795_1_ASM319479v1_genomic,003194795,0.000156838,Brucella abortus,23
GCF_900236395_1_Bru_genome41_genomic,900236395,0.000474086,Brucella melitensis,2
GCF_006506875_1_ASM650687v1_genomic,006506875,0.000156838,Brucella melitensis,31
GCF_003194765_1_ASM319476v1_genomic,003194765,0.000156838,Brucella abortus,23
GCF_000245955_1_Bruc_abor_bv1_NI021_V1_genomic,000245955,0.0,Brucella abortus,3
GCF_000292165_1_ASM29216v2_genomic,000292165,7.82718e-05,Brucella melitensis,121
GCF_006506545_1_ASM650654v1_genomic,006506545,0.000156838,Brucella melitensis,44
GCF_900446105_1_59302_A02_genomic,900446105,0.00213556,Brucella neotomae,37
GCF_002278715_1_ASM227871v1_genomic,002278715,7.82718e-05,Brucella melitensis,51
GCF_003993995_1_ASM399399v1_genomic,003993995,0.000156838,Brucella melitensis,25
GCF_000365745_1_Bruc_abor_F3_01-0300_V1_genomic,000365745,0.0,Brucella abortus,3
GCF_006506895_1_ASM650689v1_genomic,006506895,0.000314862,Brucella melitensis,24
GCF_002994775_1_ASM299477v1_genomic,002994775,0.00204936,Brucella sp,61
GCF_001715385_1_ASM171538v1_genomic,001715385,0.0,Brucella abortus,2
GCF_000740355_1_ASM74035v1_genomic,000740355,0.000235701,Brucella melitensis,2
GCF_000371105_1_Bruc_suis_63_198_V1_genomic,000371105,7.82718e-05,Brucella suis,15
GCF_006507815_1_ASM650781v1_genomic,006507815,0.000156838,Brucella melitensis,31
GCF_900497665_1_09-369-776-1_genomic,900497665,0.0005541519999999999,Brucella canis,33
GCF_000370245_1_Bruc_abor_80_28_V1_genomic,000370245,7.82718e-05,Brucella abortus,4
GCF_900491905_1_96-9626_genomic,900491905,0.000156838,Brucella canis,26
GCF_006507645_1_ASM650764v1_genomic,006507645,0.000235701,Brucella melitensis,34
GCF_002291325_1_ASM229132v1_genomic,002291325,0.000959098,Brucella abortus,2
GCF_001742815_1_ASM174281v1_genomic,001742815,0.0,Brucella sp,32
GCF_900236365_1_Bru_genome40_genomic,900236365,0.000474086,Brucella melitensis,2
GCF_000413655_1_Bruc_abor_biovar_1_90-0742_V1_genomic,000413655,0.0,Brucella abortus,5
GCF_000366985_1_Bruc_meli_F5_07-239A_V1_genomic,000366985,0.000235701,Brucella melitensis,9
GCF_000712255_1_Bneotomae2_0_genomic,000712255,0.000314862,Brucella neotomae,177
GCF_000366365_1_Bruc_abor_80_108_V1_genomic,000366365,0.0,Brucella abortus,3
GCF_000365965_1_Bruc_ovis_IntaBari-2001-319-4082_V1_genomic,000365965,0.0,Brucella ovis,21
GCF_000477635_1_Bruc_abor_BC95_V1_genomic,000477635,0.000314862,Brucella abortus,69
GCF_000479975_1_Bruc_meli_02-7258_V1_genomic,000479975,0.000156838,Brucella melitensis,14
GCF_000367265_1_Bruc_cani_CNGB_1172_V1_genomic,000367265,0.000959098,Brucella canis,2
GCF_000160255_1_ASM16025v1_genomic,000160255,0.0,Brucella abortus,16
GCF_006507135_1_ASM650713v1_genomic,006507135,0.000235701,Brucella melitensis,34
GCF_001302545_1_ASM130254v1_genomic,001302545,0.0,Brucella melitensis,41
GCF_000366465_1_Bruc_abor_90_50_V1_genomic,000366465,7.82718e-05,Brucella abortus,4
GCF_000366845_1_Bruc_meli_64_150_V1_genomic,000366845,0.0,Brucella melitensis,16
GCF_000007125_1_ASM712v1_genomic,000007125,0.000156838,Brucella melitensis,2
GCF_006507675_1_ASM650767v1_genomic,006507675,0.000156838,Brucella melitensis,33
GCF_002191495_1_ASM219149v1_genomic,002191495,0.000235701,Brucella melitensis,2
GCF_001937895_1_ASM193789v1_genomic,001937895,0.000156838,Brucella melitensis,42
GCF_900236465_1_Bru_genome45_genomic,900236465,0.000394323,Brucella melitensis,2
GCF_900446075_1_59071_A01_genomic,900446075,0.0008774869999999999,Brucella melitensis,26
GCF_001402005_1_ASM140200v1_genomic,001402005,0.000156838,Brucella abortus,18
GCF_000366205_1_Bruc_suis_92_29_V1_genomic,000366205,0.0,Brucella suis,10
GCF_006506205_1_ASM650620v1_genomic,006506205,0.000314862,Brucella melitensis,28
GCF_001937915_1_ASM193791v1_genomic,001937915,7.82718e-05,Brucella melitensis,30
GCF_006506135_1_ASM650613v1_genomic,006506135,0.000156838,Brucella melitensis,28
GCF_000182235_1_ASM18223v1_genomic,000182235,7.82718e-05,Brucella melitensis,60
GCF_000365905_1_Bruc_ovis_IntaBari-2010-47-871_V1_genomic,000365905,0.0,Brucella ovis,22
GCF_002191475_1_ASM219147v1_genomic,002191475,0.000235701,Brucella melitensis,2
GCF_900460605_1_58116_D02_genomic,900460605,0.0,Brucella suis,2
GCF_000371165_1_Bruc_suis_F12_02_V1_genomic,000371165,7.82718e-05,Brucella suis,3
GCF_006507465_1_ASM650746v1_genomic,006507465,0.000314862,Brucella melitensis,32
GCF_000480035_1_Bruc_suis_06-791-1309_V1_genomic,000480035,7.82718e-05,Brucella suis,11
GCF_000367065_1_Bruc_ovis_80_125_V1_genomic,000367065,0.0,Brucella ovis,23
GCF_002204335_1_ASM220433v1_genomic,002204335,0.0,Brucella melitensis,31
GCF_002266785_1_ASM226678v1_genomic,002266785,0.000156838,Brucella melitensis,60
GCF_001938135_1_ASM193813v1_genomic,001938135,0.000235701,Brucella melitensis,30
GCF_002191915_1_ASM219191v1_genomic,002191915,7.82718e-05,Brucella melitensis,2
GCF_006507855_1_ASM650785v1_genomic,006507855,0.000314862,Brucella melitensis,18
GCF_000370905_1_Bruc_ovis_81_8_V1_genomic,000370905,0.0,Brucella ovis,24
GCF_002191815_1_ASM219181v1_genomic,002191815,0.000235701,Brucella melitensis,2
GCF_001866335_1_ASM186633v1_genomic,001866335,0.000394323,Brucella abortus,37
GCF_000590795_1_ASM59079v1_genomic,000590795,0.000394323,Brucella ceti,2
GCF_000367005_1_Bruc_meli_F6_05-6_V1_genomic,000367005,0.0,Brucella melitensis,10
GCF_001758265_1_ASM175826v1_genomic,001758265,0.000474086,Brucella canis,12
GCF_004137225_1_ASM413722v1_genomic,004137225,7.82718e-05,Brucella abortus,43
GCF_000740415_1_ASM74041v1_genomic,000740415,7.82718e-05,Brucella melitensis,2
GCF_000413735_1_Bruc_abor_biovar_1_94-1313_V1_genomic,000413735,0.0,Brucella abortus,5
GCF_000366625_1_Bruc_meli_CNGB_1076_V1_genomic,000366625,0.000156838,Brucella melitensis,6
GCF_000366965_1_Bruc_meli_F3_02_V1_genomic,000366965,7.82718e-05,Brucella melitensis,12
GCF_000366265_1_Bruc_suis_CNGB_786_V1_genomic,000366265,7.82718e-05,Brucella suis,8
GCF_001608355_1_BMEL002-SEQ-1-ASM-1_genomic,001608355,0.000314862,Brucella melitensis,24
GCF_000479955_1_Bruc_abor_01-4165_V1_genomic,000479955,0.0,Brucella abortus,12
GCF_000370565_1_Bruc_abor_R42-08_V1_genomic,000370565,0.0,Brucella abortus,4
GCF_009017355_1_ASM901735v1_genomic,009017355,0.0,Brucella melitensis,2
GCF_003010715_1_ASM301071v1_genomic,003010715,0.000394323,Brucella canis,2
GCF_000018525_1_ASM1852v1_genomic,000018525,0.0,Brucella canis,2
GCF_000365865_1_Bruc_meli_B115_V1_genomic,000365865,0.000156838,Brucella melitensis,5
GCF_002191675_1_ASM219167v1_genomic,002191675,0.000235701,Brucella melitensis,2
GCF_001937885_1_ASM193788v1_genomic,001937885,7.82718e-05,Brucella melitensis,34
GCF_000158735_1_ASM15873v1_genomic,000158735,0.000235701,Brucella melitensis,13
GCF_002291205_1_ASM229120v1_genomic,002291205,0.000156838,Brucella abortus,2
GCF_000371005_1_Bruc_sp_F8_99_V1_genomic,000371005,0.0,Brucella sp,33
GCF_009664925_1_ASM966492v1_genomic,009664925,0.0,Brucella sp,95
GCF_000018905_1_ASM1890v1_genomic,000018905,7.82718e-05,Brucella suis,2
GCF_002191375_1_ASM219137v1_genomic,002191375,0.000156838,Brucella melitensis,2
GCF_003994175_1_ASM399417v1_genomic,003994175,0.000156838,Brucella suis,28
GCF_000367045_1_Bruc_meli_UK19_04_V1_genomic,000367045,0.000235701,Brucella melitensis,7
GCF_000367305_1_Bruc_cani_F7_05A_V1_genomic,000367305,0.00153929,Brucella canis,3
GCF_006507295_1_ASM650729v1_genomic,006507295,0.000235701,Brucella melitensis,30
GCF_006507375_1_ASM650737v1_genomic,006507375,0.000314862,Brucella melitensis,28
GCF_000366645_1_Bruc_abor_NI518_V1_genomic,000366645,0.0,Brucella abortus,2
GCF_000366905_1_Bruc_meli_CNGB_290_V1_genomic,000366905,0.000156838,Brucella melitensis,9
GCF_002262995_1_ASM226299v1_genomic,002262995,7.82718e-05,Brucella abortus,2
GCF_000740945_1_ASM74094v1_genomic,000740945,0.0,Brucella abortus,2
GCF_000292025_1_ASM29202v2_genomic,000292025,7.82718e-05,Brucella abortus,139
GCF_000366025_1_Bruc_abor_RB51_V1_genomic,000366025,0.0,Brucella abortus,2
GCF_001267725_1_ASM126772v1_genomic,001267725,7.82718e-05,Brucella abortus,49
GCF_000370125_1_Bruc_abor_65_157_V1_genomic,000370125,0.000156838,Brucella abortus,6
GCF_006506925_1_ASM650692v1_genomic,006506925,0.000235701,Brucella melitensis,28
GCF_000371125_1_Bruc_suis_63_261_V1_genomic,000371125,0.000235701,Brucella suis,7
GCF_000685375_1_BMIND1_v1_genomic,000685375,7.82718e-05,Brucella melitensis,99
GCF_008761595_1_ASM876159v1_genomic,008761595,7.82718e-05,Brucella melitensis,2
GCF_000366805_1_Bruc_abor_NI649_V1_genomic,000366805,0.0,Brucella abortus,6
GCF_002895105_1_ASM289510v1_genomic,002895105,7.82718e-05,Brucella melitensis,2
GCF_002266765_1_ASM226676v1_genomic,002266765,0.000156838,Brucella melitensis,37
GCF_000480115_1_Bruc_abor_99-9971-159_V1_genomic,000480115,7.82718e-05,Brucella abortus,21
GCF_003993895_1_ASM399389v1_genomic,003993895,7.82718e-05,Brucella melitensis,24
GCF_006507975_1_ASM650797v1_genomic,006507975,0.000156838,Brucella melitensis,31
GCF_003989715_1_ASM398971v1_genomic,003989715,0.00128871,Brucella abortus,47
GCF_004208655_1_ASM420865v1_genomic,004208655,0.000156838,Brucella melitensis,2
GCF_001043295_1_ASM104329v1_genomic,001043295,0.000156838,Brucella abortus,2
GCF_000007505_1_ASM750v1_genomic,000007505,0.0,Brucella suis,2
GCF_000366665_1_Bruc_abor_NI628_V1_genomic,000366665,0.0,Brucella abortus,6
GCF_002245235_1_ASM224523v1_genomic,002245235,0.0,Brucella melitensis,35
GCF_000371225_1_Bruc_suis_F7_06-1_V1_genomic,000371225,0.000156838,Brucella suis,3
GCF_006507695_1_ASM650769v1_genomic,006507695,0.000156838,Brucella melitensis,35
GCF_000158715_1_ASM15871v1_genomic,000158715,0.000235701,Brucella neotomae,11
GCF_006507335_1_ASM650733v1_genomic,006507335,0.000156838,Brucella melitensis,61
GCF_001296965_1_ASM129696v1_genomic,001296965,7.82718e-05,Brucella abortus,2
GCF_000371245_1_Bruc_suis_F7_06-2_V1_genomic,000371245,0.000156838,Brucella suis,4
GCF_000473805_1_Brucella82_genomic,000473805,0.0,Brucella abortus,66
GCF_000238175_1_ASM23817v1_genomic,000238175,0.0,Brucella abortus,2
GCF_006517325_1_ASM651732v1_genomic,006517325,0.000156838,Brucella melitensis,40
GCF_000875695_1_ASM87569v1_genomic,000875695,0.0,Brucella suis,2
GCF_900446015_1_58932_C01_genomic,900446015,0.000314862,Brucella abortus,3
GCF_000366685_1_Bruc_abor_NI593_V1_genomic,000366685,0.0,Brucella abortus,3
GCF_000158995_1_ASM15899v1_genomic,000158995,0.00145543,Brucella sp,18
GCF_000480095_1_Bruc_meli_02-5863-1_V1_genomic,000480095,0.0,Brucella melitensis,10
GCF_000245915_1_Bruc_abor_bv1_NI010_V1_genomic,000245915,0.0,Brucella abortus,3
GCF_900236575_1_Bru_genome10_genomic,900236575,0.000394323,Brucella melitensis,2
GCF_000366825_1_Bruc_cani_UK10_02_V1_genomic,000366825,0.0,Brucella canis,2
GCF_002290785_1_ASM229078v1_genomic,002290785,0.000959098,Brucella abortus,2
GCF_000366345_1_Bruc_abor_80_102_V1_genomic,000366345,7.82718e-05,Brucella abortus,5
GCF_003993825_1_ASM399382v1_genomic,003993825,7.82718e-05,Brucella melitensis,26
GCF_002191735_1_ASM219173v1_genomic,002191735,0.000235701,Brucella melitensis,2
GCF_002191235_1_ASM219123v1_genomic,002191235,0.0,Brucella melitensis,2
GCF_000480315_1_Bruc_suis_06-988-1656_V1_genomic,000480315,7.82718e-05,Brucella suis,7
GCF_000157835_1_ASM15783v1_genomic,000157835,0.000394323,Brucella ceti,17
GCF_006506115_1_ASM650611v1_genomic,006506115,0.000156838,Brucella melitensis,29
GCF_000413995_1_Bruc_abor_biovar_1_87-2211_V1_genomic,000413995,0.0,Brucella abortus,4
GCF_900446055_1_59014_A01_genomic,900446055,0.0,Brucella abortus,2
GCF_000370945_1_Bruc_sp_63_311_V1_genomic,000370945,0.0,Brucella sp,19
GCF_003290345_1_ASM329034v1_genomic,003290345,0.0,Brucella abortus,2
GCF_002278585_1_ASM227858v1_genomic,002278585,0.000235701,Brucella melitensis,56
GCF_006507125_1_ASM650712v1_genomic,006507125,0.000156838,Brucella melitensis,36
GCF_000371305_1_Bruc_suis_F8_06-3_V1_genomic,000371305,0.0,Brucella suis,3
GCF_001402055_1_ASM140205v1_genomic,001402055,7.82718e-05,Brucella abortus,16
GCF_001856205_1_ASM185620v1_genomic,001856205,0.000156838,Brucella abortus,25
GCF_006506975_1_ASM650697v1_genomic,006506975,0.000156838,Brucella melitensis,28
GCF_000366705_1_Bruc_abor_NI639_V1_genomic,000366705,0.0,Brucella abortus,4
GCF_000370285_1_Bruc_abor_85_69_V1_genomic,000370285,0.000156838,Brucella abortus,6
GCF_000366325_1_Bruc_abor_78_36_V1_genomic,000366325,0.000796189,Brucella abortus,6
GCF_002245225_1_ASM224522v1_genomic,002245225,0.0,Brucella melitensis,30
GCF_006506505_1_ASM650650v1_genomic,006506505,0.000156838,Brucella melitensis,28
GCF_000742275_1_ASM74227v1_genomic,000742275,0.0,Brucella abortus,32
GCF_000480055_1_Bruc_suis_04-0115_V1_genomic,000480055,7.82718e-05,Brucella suis,6
GCF_000371025_1_Bruc_sp_F96_2_V1_genomic,000371025,0.0,Brucella sp,7
GCF_000366185_1_Bruc_abor_NI380_V1_genomic,000366185,0.0,Brucella abortus,2
GCF_002591255_1_ASM259125v1_genomic,002591255,0.0,Brucella canis,2
GCF_000365885_1_Bruc_ovis_IntaBari-2006-46-332_V1_genomic,000365885,7.82718e-05,Brucella ovis,30
GCF_006506685_1_ASM650668v1_genomic,006506685,0.000156838,Brucella melitensis,29
GCF_001857585_1_ASM185758v1_genomic,001857585,7.82718e-05,Brucella melitensis,39
GCF_000157675_1_ASM15767v1_genomic,000157675,0.000156838,Brucella abortus,13
GCF_003856415_1_ASM385641v1_genomic,003856415,0.0,Brucella melitensis,2
GCF_009664965_1_ASM966496v1_genomic,009664965,0.022937400000000004,Brucella sp,80
GCF_002191655_1_ASM219165v1_genomic,002191655,0.000235701,Brucella melitensis,2
GCF_000366525_1_Bruc_abor_CNGB_1432_V1_genomic,000366525,0.0,Brucella abortus,4
GCF_000370305_1_Bruc_abor_87_28_V1_genomic,000370305,7.82718e-05,Brucella abortus,5
GCF_000369945_1_Bruc_abor_544_V1_genomic,000369945,0.0,Brucella abortus,3
GCF_000236255_1_ASM23625v1_genomic,000236255,0.0,Brucella suis,2
GCF_000366385_1_Bruc_abor_85_140_V1_genomic,000366385,7.82718e-05,Brucella abortus,7
GCF_006506985_1_ASM650698v1_genomic,006506985,0.000235701,Brucella melitensis,27
GCF_006507825_1_ASM650782v1_genomic,006507825,0.000474086,Brucella melitensis,33
GCF_002191575_1_ASM219157v1_genomic,002191575,0.0,Brucella melitensis,2
GCF_000590815_1_ASM59081v1_genomic,000590815,0.000715202,Brucella ceti,2
GCF_006506425_1_ASM650642v1_genomic,006506425,0.000715202,Brucella melitensis,66
GCF_000370885_1_Bruc_ovis_63_96_V1_genomic,000370885,0.0,Brucella ovis,3
GCF_003993935_1_ASM399393v1_genomic,003993935,0.000156838,Brucella melitensis,25
GCF_001766425_1_ASM176642v1_genomic,001766425,0.000394323,Brucella melitensis,45
GCF_000366605_1_Bruc_abor_63_59_V1_genomic,000366605,0.000156838,Brucella abortus,5
GCF_900236485_1_Bru_genome24_genomic,900236485,0.000394323,Brucella melitensis,2
GCF_000366585_1_Bruc_meli_UK22_06_V1_genomic,000366585,0.000634523,Brucella melitensis,12
