Sample,Record ID,Max Distance,Strain
GCF_003994075.1_ASM399407v1_genomic,003994075,7.82718e-05,Brucella abortus
GCF_000365625.1_Bruc_abor_LEVI237_V1_genomic,000365625,0.000156838,Brucella abortus
GCF_006517315.1_ASM651731v1_genomic,006517315,0.000156838,Brucella melitensis
GCF_000370445.1_Bruc_abor_F6_05-3_V1_genomic,000370445,0.000235701,Brucella abortus
GCF_006517335.1_ASM651733v1_genomic,006517335,0.000156838,Brucella melitensis
GCF_000370065.1_Bruc_abor_63_294_V1_genomic,000370065,0.00128871,Brucella abortus
GCF_006507665.1_ASM650766v1_genomic,006507665,0.000156838,Brucella melitensis
GCF_001715365.1_ASM171536v1_genomic,001715365,0.0,Brucella canis
GCF_000348645.1_MD5v1_genomic,000348645,7.82718e-05,Brucella melitensis
GCF_000369905.1_Bruc_abor_225_65_V1_genomic,000369905,0.0,Brucella abortus
GCF_000480295.1_Bruc_cani_04-2330-1_V1_genomic,000480295,0.0,Brucella canis
GCF_003989975.1_ASM398997v1_genomic,003989975,0.00145543,Brucella abortus
GCF_006506485.1_ASM650648v1_genomic,006506485,0.000235701,Brucella melitensis
GCF_000365645.1_Bruc_abor_levi_gila_V1_genomic,000365645,0.0,Brucella abortus
GCF_004168645.1_ASM416864v1_genomic,004168645,7.82718e-05,Brucella abortus
GCF_900236555.1_Bru_genome5_genomic,900236555,0.000394323,Brucella melitensis
GCF_900446005.1_58116_B01_genomic,900446005,0.000156838,Brucella abortus
GCF_000157735.1_ASM15773v1_genomic,000157735,0.000156838,Brucella abortus
GCF_002150445.1_ASM215044v1_genomic,002150445,0.000156838,Brucella melitensis
GCF_002895145.1_ASM289514v1_genomic,002895145,0.0,Brucella abortus
GCF_001402095.1_ASM140209v1_genomic,001402095,7.82718e-05,Brucella abortus
GCF_000245895.1_Bruc_abor_bv1_NI488_V1_genomic,000245895,0.0,Brucella abortus
GCF_006506215.1_ASM650621v1_genomic,006506215,0.000314862,Brucella melitensis
GCF_000740315.1_ASM74031v1_genomic,000740315,0.000314862,Brucella abortus
GCF_000698345.1_ASM69834v1_genomic,000698345,7.82718e-05,Brucella suis
GCF_000298575.1_V1.0_for_Brucella_canis_str_118_genomic,000298575,0.0005541519999999999,Brucella canis
GCF_002150355.1_ASM215035v1_genomic,002150355,7.82718e-05,Brucella melitensis
GCF_003253375.1_ASM325337v1_genomic,003253375,0.000156838,Brucella abortus
GCF_000480135.1_Bruc_suis_06-997-1672_V1_genomic,000480135,0.000156838,Brucella suis
GCF_000292065.1_ASM29206v1_genomic,000292065,7.82718e-05,Brucella melitensis
GCF_002191935.1_ASM219193v1_genomic,002191935,0.000314862,Brucella melitensis
GCF_000370405.1_Bruc_abor_F10_06-3_V1_genomic,000370405,0.000235701,Brucella abortus
GCF_003989635.1_ASM398963v1_genomic,003989635,0.000156838,Brucella melitensis
GCF_006507585.1_ASM650758v1_genomic,006507585,0.000156838,Brucella melitensis
GCF_000366865.1_Bruc_meli_66_59_V1_genomic,000366865,0.0,Brucella melitensis
GCF_006506785.1_ASM650678v1_genomic,006506785,0.000156838,Brucella melitensis
GCF_003675365.1_ASM367536v1_genomic,003675365,7.82718e-05,Brucella abortus
GCF_006507285.1_ASM650728v1_genomic,006507285,0.000156838,Brucella melitensis
GCF_000370705.1_Bruc_meli_F9_05_V1_genomic,000370705,7.82718e-05,Brucella melitensis
GCF_001938045.1_ASM193804v1_genomic,001938045,0.000235701,Brucella melitensis
GCF_000366725.1_Bruc_abor_NI622_V1_genomic,000366725,0.0,Brucella abortus
GCF_000370005.1_Bruc_abor_63_138_V1_genomic,000370005,7.82718e-05,Brucella abortus
GCF_006507235.1_ASM650723v1_genomic,006507235,0.000156838,Brucella melitensis
GCF_000705115.1_Brucella_melitensis_C-555_genomic,000705115,0.000156838,Brucella melitensis
GCF_003994105.1_ASM399410v1_genomic,003994105,0.000156838,Brucella melitensis
GCF_002191335.1_ASM219133v1_genomic,002191335,0.000235701,Brucella melitensis
GCF_900446145.1_59071_D01_genomic,900446145,0.000715202,Brucella suis
GCF_001594165.1_ASM159416v1_genomic,001594165,0.0,Brucella suis
GCF_001938165.1_ASM193816v1_genomic,001938165,0.000235701,Brucella melitensis
GCF_000209635.2_ASM20963v2_genomic,000209635,0.0,Brucella suis
GCF_006506635.1_ASM650663v1_genomic,006506635,0.000235701,Brucella melitensis
GCF_006506105.1_ASM650610v1_genomic,006506105,0.000156838,Brucella melitensis
GCF_006506565.1_ASM650656v1_genomic,006506565,0.0005541519999999999,Brucella melitensis
GCF_000163135.1_ASM16313v1_genomic,000163135,0.0,Brucella sp
GCF_000370605.1_Bruc_cani_CNGB_513_V1_genomic,000370605,0.000235701,Brucella canis
GCF_900417215.1_00-4216_genomic,900417215,0.000156838,Brucella melitensis
GCF_000245835.1_Bruc_abor_bv1_NI435a_V1_genomic,000245835,0.0,Brucella abortus
GCF_001702315.1_ASM170231v1_genomic,001702315,7.82718e-05,Brucella melitensis
GCF_002310355.1_ASM231035v1_genomic,002310355,0.000959098,Brucella abortus
GCF_003194795.1_ASM319479v1_genomic,003194795,0.000156838,Brucella abortus
GCF_900236395.1_Bru_genome41_genomic,900236395,0.000474086,Brucella melitensis
GCF_006506875.1_ASM650687v1_genomic,006506875,0.000156838,Brucella melitensis
GCF_003194765.1_ASM319476v1_genomic,003194765,0.000156838,Brucella abortus
GCF_000245955.1_Bruc_abor_bv1_NI021_V1_genomic,000245955,0.0,Brucella abortus
GCF_000292165.1_ASM29216v2_genomic,000292165,7.82718e-05,Brucella melitensis
GCF_006506545.1_ASM650654v1_genomic,006506545,0.000156838,Brucella melitensis
GCF_900446105.1_59302_A02_genomic,900446105,0.00213556,Brucella neotomae
GCF_002278715.1_ASM227871v1_genomic,002278715,7.82718e-05,Brucella melitensis
GCF_003993995.1_ASM399399v1_genomic,003993995,0.000156838,Brucella melitensis
GCF_000365745.1_Bruc_abor_F3_01-0300_V1_genomic,000365745,0.0,Brucella abortus
GCF_006506895.1_ASM650689v1_genomic,006506895,0.000314862,Brucella melitensis
GCF_002994775.1_ASM299477v1_genomic,002994775,0.00204936,Brucella sp
GCF_001715385.1_ASM171538v1_genomic,001715385,0.0,Brucella abortus
GCF_000740355.1_ASM74035v1_genomic,000740355,0.000235701,Brucella melitensis
GCF_000371105.1_Bruc_suis_63_198_V1_genomic,000371105,7.82718e-05,Brucella suis
GCF_006507815.1_ASM650781v1_genomic,006507815,0.000156838,Brucella melitensis
GCF_900497665.1_09-369-776-1_genomic,900497665,0.0005541519999999999,Brucella canis
GCF_000370245.1_Bruc_abor_80_28_V1_genomic,000370245,7.82718e-05,Brucella abortus
GCF_900491905.1_96-9626_genomic,900491905,0.000156838,Brucella canis
GCF_006507645.1_ASM650764v1_genomic,006507645,0.000235701,Brucella melitensis
GCF_002291325.1_ASM229132v1_genomic,002291325,0.000959098,Brucella abortus
GCF_001742815.1_ASM174281v1_genomic,001742815,0.0,Brucella sp
GCF_900236365.1_Bru_genome40_genomic,900236365,0.000474086,Brucella melitensis
GCF_000413655.1_Bruc_abor_biovar_1_90-0742_V1_genomic,000413655,0.0,Brucella abortus
GCF_000366985.1_Bruc_meli_F5_07-239A_V1_genomic,000366985,0.000235701,Brucella melitensis
GCF_000712255.1_Bneotomae2.0_genomic,000712255,0.000314862,Brucella neotomae
GCF_000366365.1_Bruc_abor_80_108_V1_genomic,000366365,0.0,Brucella abortus
GCF_000365965.1_Bruc_ovis_IntaBari-2001-319-4082_V1_genomic,000365965,0.0,Brucella ovis
GCF_000477635.1_Bruc_abor_BC95_V1_genomic,000477635,0.000314862,Brucella abortus
GCF_000479975.1_Bruc_meli_02-7258_V1_genomic,000479975,0.000156838,Brucella melitensis
GCF_000367265.1_Bruc_cani_CNGB_1172_V1_genomic,000367265,0.000959098,Brucella canis
GCF_000160255.1_ASM16025v1_genomic,000160255,0.0,Brucella abortus
GCF_006507135.1_ASM650713v1_genomic,006507135,0.000235701,Brucella melitensis
GCF_001302545.1_ASM130254v1_genomic,001302545,0.0,Brucella melitensis
GCF_000366465.1_Bruc_abor_90_50_V1_genomic,000366465,7.82718e-05,Brucella abortus
GCF_000366845.1_Bruc_meli_64_150_V1_genomic,000366845,0.0,Brucella melitensis
GCF_000007125.1_ASM712v1_genomic,000007125,0.000156838,Brucella melitensis
GCF_006507675.1_ASM650767v1_genomic,006507675,0.000156838,Brucella melitensis
GCF_002191495.1_ASM219149v1_genomic,002191495,0.000235701,Brucella melitensis
GCF_001937895.1_ASM193789v1_genomic,001937895,0.000156838,Brucella melitensis
GCF_900236465.1_Bru_genome45_genomic,900236465,0.000394323,Brucella melitensis
GCF_900446075.1_59071_A01_genomic,900446075,0.0008774869999999999,Brucella melitensis
GCF_001402005.1_ASM140200v1_genomic,001402005,0.000156838,Brucella abortus
GCF_000366205.1_Bruc_suis_92_29_V1_genomic,000366205,0.0,Brucella suis
GCF_006506205.1_ASM650620v1_genomic,006506205,0.000314862,Brucella melitensis
GCF_001937915.1_ASM193791v1_genomic,001937915,7.82718e-05,Brucella melitensis
GCF_006506135.1_ASM650613v1_genomic,006506135,0.000156838,Brucella melitensis
GCF_000182235.1_ASM18223v1_genomic,000182235,7.82718e-05,Brucella melitensis
GCF_000365905.1_Bruc_ovis_IntaBari-2010-47-871_V1_genomic,000365905,0.0,Brucella ovis
GCF_002191475.1_ASM219147v1_genomic,002191475,0.000235701,Brucella melitensis
GCF_900460605.1_58116_D02_genomic,900460605,0.0,Brucella suis
GCF_000371165.1_Bruc_suis_F12_02_V1_genomic,000371165,7.82718e-05,Brucella suis
GCF_006507465.1_ASM650746v1_genomic,006507465,0.000314862,Brucella melitensis
GCF_000480035.1_Bruc_suis_06-791-1309_V1_genomic,000480035,7.82718e-05,Brucella suis
GCF_000367065.1_Bruc_ovis_80_125_V1_genomic,000367065,0.0,Brucella ovis
GCF_002204335.1_ASM220433v1_genomic,002204335,0.0,Brucella melitensis
GCF_002266785.1_ASM226678v1_genomic,002266785,0.000156838,Brucella melitensis
GCF_001938135.1_ASM193813v1_genomic,001938135,0.000235701,Brucella melitensis
GCF_002191915.1_ASM219191v1_genomic,002191915,7.82718e-05,Brucella melitensis
GCF_006507855.1_ASM650785v1_genomic,006507855,0.000314862,Brucella melitensis
GCF_000370905.1_Bruc_ovis_81_8_V1_genomic,000370905,0.0,Brucella ovis
GCF_002191815.1_ASM219181v1_genomic,002191815,0.000235701,Brucella melitensis
GCF_001866335.1_ASM186633v1_genomic,001866335,0.000394323,Brucella abortus
GCF_000590795.1_ASM59079v1_genomic,000590795,0.000394323,Brucella ceti
GCF_000367005.1_Bruc_meli_F6_05-6_V1_genomic,000367005,0.0,Brucella melitensis
GCF_001758265.1_ASM175826v1_genomic,001758265,0.000474086,Brucella canis
GCF_004137225.1_ASM413722v1_genomic,004137225,7.82718e-05,Brucella abortus
GCF_000740415.1_ASM74041v1_genomic,000740415,7.82718e-05,Brucella melitensis
GCF_000413735.1_Bruc_abor_biovar_1_94-1313_V1_genomic,000413735,0.0,Brucella abortus
GCF_000366625.1_Bruc_meli_CNGB_1076_V1_genomic,000366625,0.000156838,Brucella melitensis
GCF_000366965.1_Bruc_meli_F3_02_V1_genomic,000366965,7.82718e-05,Brucella melitensis
GCF_000366265.1_Bruc_suis_CNGB_786_V1_genomic,000366265,7.82718e-05,Brucella suis
GCF_001608355.1_BMEL002-SEQ-1-ASM-1_genomic,001608355,0.000314862,Brucella melitensis
GCF_000479955.1_Bruc_abor_01-4165_V1_genomic,000479955,0.0,Brucella abortus
GCF_000370565.1_Bruc_abor_R42-08_V1_genomic,000370565,0.0,Brucella abortus
GCF_009017355.1_ASM901735v1_genomic,009017355,0.0,Brucella melitensis
GCF_003010715.1_ASM301071v1_genomic,003010715,0.000394323,Brucella canis
GCF_000018525.1_ASM1852v1_genomic,000018525,0.0,Brucella canis
GCF_000365865.1_Bruc_meli_B115_V1_genomic,000365865,0.000156838,Brucella melitensis
GCF_002191675.1_ASM219167v1_genomic,002191675,0.000235701,Brucella melitensis
GCF_001937885.1_ASM193788v1_genomic,001937885,7.82718e-05,Brucella melitensis
GCF_000158735.1_ASM15873v1_genomic,000158735,0.000235701,Brucella melitensis
GCF_002291205.1_ASM229120v1_genomic,002291205,0.000156838,Brucella abortus
GCF_000371005.1_Bruc_sp_F8_99_V1_genomic,000371005,0.0,Brucella sp
GCF_009664925.1_ASM966492v1_genomic,009664925,0.0,Brucella sp
GCF_000018905.1_ASM1890v1_genomic,000018905,7.82718e-05,Brucella suis
GCF_002191375.1_ASM219137v1_genomic,002191375,0.000156838,Brucella melitensis
GCF_003994175.1_ASM399417v1_genomic,003994175,0.000156838,Brucella suis
GCF_000367045.1_Bruc_meli_UK19_04_V1_genomic,000367045,0.000235701,Brucella melitensis
GCF_000367305.1_Bruc_cani_F7_05A_V1_genomic,000367305,0.00153929,Brucella canis
GCF_006507295.1_ASM650729v1_genomic,006507295,0.000235701,Brucella melitensis
GCF_006507375.1_ASM650737v1_genomic,006507375,0.000314862,Brucella melitensis
GCF_000366645.1_Bruc_abor_NI518_V1_genomic,000366645,0.0,Brucella abortus
GCF_000366905.1_Bruc_meli_CNGB_290_V1_genomic,000366905,0.000156838,Brucella melitensis
GCF_002262995.1_ASM226299v1_genomic,002262995,7.82718e-05,Brucella abortus
GCF_000740945.1_ASM74094v1_genomic,000740945,0.0,Brucella abortus
GCF_000292025.1_ASM29202v2_genomic,000292025,7.82718e-05,Brucella abortus
GCF_000366025.1_Bruc_abor_RB51_V1_genomic,000366025,0.0,Brucella abortus
GCF_001267725.1_ASM126772v1_genomic,001267725,7.82718e-05,Brucella abortus
GCF_000370125.1_Bruc_abor_65_157_V1_genomic,000370125,0.000156838,Brucella abortus
GCF_006506925.1_ASM650692v1_genomic,006506925,0.000235701,Brucella melitensis
GCF_000371125.1_Bruc_suis_63_261_V1_genomic,000371125,0.000235701,Brucella suis
GCF_000685375.1_BMIND1_v1_genomic,000685375,7.82718e-05,Brucella melitensis
GCF_008761595.1_ASM876159v1_genomic,008761595,7.82718e-05,Brucella melitensis
GCF_000366805.1_Bruc_abor_NI649_V1_genomic,000366805,0.0,Brucella abortus
GCF_002895105.1_ASM289510v1_genomic,002895105,7.82718e-05,Brucella melitensis
GCF_002266765.1_ASM226676v1_genomic,002266765,0.000156838,Brucella melitensis
GCF_000480115.1_Bruc_abor_99-9971-159_V1_genomic,000480115,7.82718e-05,Brucella abortus
GCF_003993895.1_ASM399389v1_genomic,003993895,7.82718e-05,Brucella melitensis
GCF_006507975.1_ASM650797v1_genomic,006507975,0.000156838,Brucella melitensis
GCF_003989715.1_ASM398971v1_genomic,003989715,0.00128871,Brucella abortus
GCF_004208655.1_ASM420865v1_genomic,004208655,0.000156838,Brucella melitensis
GCF_001043295.1_ASM104329v1_genomic,001043295,0.000156838,Brucella abortus
GCF_000007505.1_ASM750v1_genomic,000007505,0.0,Brucella suis
GCF_000366665.1_Bruc_abor_NI628_V1_genomic,000366665,0.0,Brucella abortus
GCF_002245235.1_ASM224523v1_genomic,002245235,0.0,Brucella melitensis
GCF_000371225.1_Bruc_suis_F7_06-1_V1_genomic,000371225,0.000156838,Brucella suis
GCF_006507695.1_ASM650769v1_genomic,006507695,0.000156838,Brucella melitensis
GCF_000158715.1_ASM15871v1_genomic,000158715,0.000235701,Brucella neotomae
GCF_006507335.1_ASM650733v1_genomic,006507335,0.000156838,Brucella melitensis
GCF_001296965.1_ASM129696v1_genomic,001296965,7.82718e-05,Brucella abortus
GCF_000371245.1_Bruc_suis_F7_06-2_V1_genomic,000371245,0.000156838,Brucella suis
GCF_000473805.1_Brucella82_genomic,000473805,0.0,Brucella abortus
GCF_000238175.1_ASM23817v1_genomic,000238175,0.0,Brucella abortus
GCF_006517325.1_ASM651732v1_genomic,006517325,0.000156838,Brucella melitensis
GCF_000875695.1_ASM87569v1_genomic,000875695,0.0,Brucella suis
GCF_900446015.1_58932_C01_genomic,900446015,0.000314862,Brucella abortus
GCF_000366685.1_Bruc_abor_NI593_V1_genomic,000366685,0.0,Brucella abortus
GCF_000158995.1_ASM15899v1_genomic,000158995,0.00145543,Brucella sp
GCF_000480095.1_Bruc_meli_02-5863-1_V1_genomic,000480095,0.0,Brucella melitensis
GCF_000245915.1_Bruc_abor_bv1_NI010_V1_genomic,000245915,0.0,Brucella abortus
GCF_900236575.1_Bru_genome10_genomic,900236575,0.000394323,Brucella melitensis
GCF_000366825.1_Bruc_cani_UK10_02_V1_genomic,000366825,0.0,Brucella canis
GCF_002290785.1_ASM229078v1_genomic,002290785,0.000959098,Brucella abortus
GCF_000366345.1_Bruc_abor_80_102_V1_genomic,000366345,7.82718e-05,Brucella abortus
GCF_003993825.1_ASM399382v1_genomic,003993825,7.82718e-05,Brucella melitensis
GCF_002191735.1_ASM219173v1_genomic,002191735,0.000235701,Brucella melitensis
GCF_002191235.1_ASM219123v1_genomic,002191235,0.0,Brucella melitensis
GCF_000480315.1_Bruc_suis_06-988-1656_V1_genomic,000480315,7.82718e-05,Brucella suis
GCF_000157835.1_ASM15783v1_genomic,000157835,0.000394323,Brucella ceti
GCF_006506115.1_ASM650611v1_genomic,006506115,0.000156838,Brucella melitensis
GCF_000413995.1_Bruc_abor_biovar_1_87-2211_V1_genomic,000413995,0.0,Brucella abortus
GCF_900446055.1_59014_A01_genomic,900446055,0.0,Brucella abortus
GCF_000370945.1_Bruc_sp_63_311_V1_genomic,000370945,0.0,Brucella sp
GCF_003290345.1_ASM329034v1_genomic,003290345,0.0,Brucella abortus
GCF_002278585.1_ASM227858v1_genomic,002278585,0.000235701,Brucella melitensis
GCF_006507125.1_ASM650712v1_genomic,006507125,0.000156838,Brucella melitensis
GCF_000371305.1_Bruc_suis_F8_06-3_V1_genomic,000371305,0.0,Brucella suis
GCF_001402055.1_ASM140205v1_genomic,001402055,7.82718e-05,Brucella abortus
GCF_001856205.1_ASM185620v1_genomic,001856205,0.000156838,Brucella abortus
GCF_006506975.1_ASM650697v1_genomic,006506975,0.000156838,Brucella melitensis
GCF_000366705.1_Bruc_abor_NI639_V1_genomic,000366705,0.0,Brucella abortus
GCF_000370285.1_Bruc_abor_85_69_V1_genomic,000370285,0.000156838,Brucella abortus
GCF_000366325.1_Bruc_abor_78_36_V1_genomic,000366325,0.000796189,Brucella abortus
GCF_002245225.1_ASM224522v1_genomic,002245225,0.0,Brucella melitensis
GCF_006506505.1_ASM650650v1_genomic,006506505,0.000156838,Brucella melitensis
GCF_000742275.1_ASM74227v1_genomic,000742275,0.0,Brucella abortus
GCF_000480055.1_Bruc_suis_04-0115_V1_genomic,000480055,7.82718e-05,Brucella suis
GCF_000371025.1_Bruc_sp_F96_2_V1_genomic,000371025,0.0,Brucella sp
GCF_000366185.1_Bruc_abor_NI380_V1_genomic,000366185,0.0,Brucella abortus
GCF_002591255.1_ASM259125v1_genomic,002591255,0.0,Brucella canis
GCF_000365885.1_Bruc_ovis_IntaBari-2006-46-332_V1_genomic,000365885,7.82718e-05,Brucella ovis
GCF_006506685.1_ASM650668v1_genomic,006506685,0.000156838,Brucella melitensis
GCF_001857585.1_ASM185758v1_genomic,001857585,7.82718e-05,Brucella melitensis
GCF_000157675.1_ASM15767v1_genomic,000157675,0.000156838,Brucella abortus
GCF_003856415.1_ASM385641v1_genomic,003856415,0.0,Brucella melitensis
GCF_009664965.1_ASM966496v1_genomic,009664965,0.022937400000000004,Brucella sp
GCF_002191655.1_ASM219165v1_genomic,002191655,0.000235701,Brucella melitensis
GCF_000366525.1_Bruc_abor_CNGB_1432_V1_genomic,000366525,0.0,Brucella abortus
GCF_000370305.1_Bruc_abor_87_28_V1_genomic,000370305,7.82718e-05,Brucella abortus
GCF_000369945.1_Bruc_abor_544_V1_genomic,000369945,0.0,Brucella abortus
GCF_000236255.1_ASM23625v1_genomic,000236255,0.0,Brucella suis
GCF_000366385.1_Bruc_abor_85_140_V1_genomic,000366385,7.82718e-05,Brucella abortus
GCF_006506985.1_ASM650698v1_genomic,006506985,0.000235701,Brucella melitensis
GCF_006507825.1_ASM650782v1_genomic,006507825,0.000474086,Brucella melitensis
GCF_002191575.1_ASM219157v1_genomic,002191575,0.0,Brucella melitensis
GCF_000590815.1_ASM59081v1_genomic,000590815,0.000715202,Brucella ceti
GCF_006506425.1_ASM650642v1_genomic,006506425,0.000715202,Brucella melitensis
GCF_000370885.1_Bruc_ovis_63_96_V1_genomic,000370885,0.0,Brucella ovis
GCF_003993935.1_ASM399393v1_genomic,003993935,0.000156838,Brucella melitensis
GCF_001766425.1_ASM176642v1_genomic,001766425,0.000394323,Brucella melitensis
GCF_000366605.1_Bruc_abor_63_59_V1_genomic,000366605,0.000156838,Brucella abortus
GCF_900236485.1_Bru_genome24_genomic,900236485,0.000394323,Brucella melitensis
GCF_000366585.1_Bruc_meli_UK22_06_V1_genomic,000366585,0.000634523,Brucella melitensis
